ID,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,SpriteURL
1,Bulbasaur,45,49,49,65,65,45,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,Ivysaur,60,62,63,80,80,60,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,Venusaur,80,82,83,100,100,80,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,Charmander,39,52,43,60,50,65,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,Charmeleon,58,64,58,80,65,80,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,Charizard,78,84,78,109,85,100,Fire,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,Squirtle,44,48,65,50,64,43,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,Wartortle,59,63,80,65,80,58,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,Blastoise,79,83,100,85,105,78,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,Caterpie,45,30,35,20,20,45,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,Metapod,50,20,55,25,25,30,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,Butterfree,60,45,50,90,80,70,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,Weedle,40,35,30,20,20,50,Bug,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,Kakuna,45,25,50,25,25,35,Bug,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,Beedrill,65,90,40,45,80,75,Bug,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,Pidgey,40,45,40,35,35,56,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,Pidgeotto,63,60,55,50,50,71,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,Pidgeot,83,80,75,70,70,101,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,Rattata,30,56,35,25,35,72,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,Raticate,55,81,60,50,70,97,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,Spearow,40,60,30,31,31,70,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,Fearow,65,90,65,61,61,100,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,Ekans,35,60,44,40,54,55,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
24,Arbok,60,95,69,65,79,80,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
25,Pikachu,35,55,40,50,50,90,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,Raichu,60,90,55,90,80,110,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
27,Sandshrew,50,75,85,20,30,40,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
28,Sandslash,75,100,110,45,55,65,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
29,Nidoran-f,55,47,52,40,40,41,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,Nidorina,70,62,67,55,55,56,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,Nidoqueen,90,92,87,75,85,76,Poison,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,Nidoran-m,46,57,40,40,40,50,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,Nidorino,61,72,57,55,55,65,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,Nidoking,81,102,77,85,75,85,Poison,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,Clefairy,70,45,48,60,65,35,Fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,Clefable,95,70,73,95,90,60,Fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
37,Vulpix,38,41,40,50,65,65,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
